id,unit,appointmentDate,appointmentTime,numberOfSlots
1,3239 Erie Parkway,9/21/2022,16:59,62
2,36 Pankratz Pass,9/28/2022,16:22,63
3,961 Northridge Center,9/24/2022,5:58,72
4,4663 Johnson Terrace,9/25/2022,15:16,92
5,0 Victoria Point,9/25/2022,21:36,11
6,454 Lighthouse Bay Alley,9/27/2022,13:53,98
7,84 Meadow Vale Terrace,9/25/2022,4:58,58
8,50226 Northland Place,9/25/2022,0:54,83
9,69 Ridgeway Terrace,9/26/2022,10:46,2
10,361 Boyd Center,9/23/2022,11:37,59
11,0677 North Parkway,9/25/2022,18:30,62
12,09168 Hauk Park,9/23/2022,4:58,13
13,6 Raven Pass,9/26/2022,0:51,17
14,709 Shopko Point,9/29/2022,11:39,77
15,61 Eagan Drive,9/25/2022,22:44,52
16,62 Claremont Pass,9/26/2022,4:43,77
17,1936 Maple Way,9/21/2022,10:55,37
18,80 Weeping Birch Street,9/23/2022,19:24,80
19,324 Muir Avenue,9/29/2022,7:57,92
20,6472 Schiller Street,9/28/2022,6:55,53
21,312 Kropf Street,9/24/2022,16:09,19
22,97388 Glacier Hill Crossing,9/24/2022,6:53,80
23,041 Montana Drive,9/22/2022,6:18,50
24,74 Lerdahl Hill,9/25/2022,11:38,14
25,95588 Transport Park,9/26/2022,0:15,84
26,6 North Circle,9/28/2022,10:36,26
27,202 Rockefeller Road,9/22/2022,4:57,17
28,1428 Logan Avenue,9/24/2022,22:10,56
29,68303 Di Loreto Park,9/23/2022,4:07,34
30,927 Drewry Hill,9/29/2022,1:34,10
31,272 Raven Point,9/23/2022,6:05,97
32,5 Pawling Court,9/29/2022,14:26,61
33,7 Becker Hill,9/27/2022,8:41,27
34,196 Harbort Parkway,9/23/2022,3:05,55
35,85 Vahlen Road,9/21/2022,22:11,67
36,068 Bobwhite Crossing,9/29/2022,11:17,38
37,656 Monica Pass,9/21/2022,6:57,21
38,17 Washington Street,9/28/2022,16:06,88
39,5536 Talisman Terrace,9/22/2022,23:47,77
40,0680 Anthes Circle,9/28/2022,1:39,62
41,56255 Reinke Crossing,9/29/2022,22:45,17
42,04 Harbort Trail,9/25/2022,13:42,50
43,78 Utah Pass,9/26/2022,20:55,56
44,509 Dottie Trail,9/22/2022,23:37,40
45,9426 Eastwood Street,9/27/2022,4:54,49
46,4866 Raven Crossing,9/28/2022,8:17,4
47,8230 Prairieview Alley,9/29/2022,9:53,59
48,1157 Pankratz Alley,9/27/2022,10:51,65
49,0687 Artisan Plaza,9/22/2022,19:05,90
50,78 Ilene Trail,9/25/2022,14:36,50
51,06 Welch Park,9/26/2022,9:42,54
52,5321 Farmco Park,9/27/2022,17:39,94
53,2896 La Follette Park,9/24/2022,6:47,87
54,74 Almo Road,9/27/2022,10:38,19
55,995 Corry Circle,9/22/2022,14:02,95
56,592 Northfield Alley,9/23/2022,1:59,52
57,12 Sunbrook Trail,9/27/2022,8:43,11
58,393 Cherokee Trail,9/23/2022,15:23,93
59,490 Fieldstone Circle,9/24/2022,21:59,13
60,91773 Sloan Plaza,9/21/2022,3:29,29
61,212 Elka Crossing,9/28/2022,4:27,21
62,3023 Vernon Court,9/26/2022,18:17,79
63,486 Ridgeway Park,9/26/2022,21:40,76
64,3387 Colorado Trail,9/29/2022,9:14,100
65,254 Jackson Junction,9/26/2022,8:58,47
66,18 Stone Corner Place,9/26/2022,14:49,13
67,322 Springview Circle,9/27/2022,8:18,14
68,01066 Westridge Circle,9/29/2022,0:07,53
69,66 Corry Court,9/23/2022,8:05,13
70,773 Spohn Court,9/27/2022,12:03,29
71,1 Namekagon Parkway,9/26/2022,5:55,16
72,7 Dapin Place,9/21/2022,13:32,72
73,9 Chinook Park,9/25/2022,6:18,35
74,3335 Laurel Street,9/29/2022,3:28,21
75,968 Towne Avenue,9/28/2022,23:55,61
76,26 Kinsman Circle,9/27/2022,8:11,69
77,6651 Scoville Lane,9/25/2022,2:31,34
78,82 Eggendart Way,9/22/2022,21:04,26
79,054 Packers Street,9/25/2022,16:04,26
80,494 Fieldstone Plaza,9/21/2022,16:20,73
81,15122 Johnson Way,9/21/2022,15:41,79
82,2 Northport Road,9/29/2022,15:35,17
83,10164 Oxford Point,9/28/2022,1:45,98
84,3 Hooker Junction,9/27/2022,16:19,15
85,12 Mcbride Hill,9/27/2022,18:48,14
86,76 Meadow Valley Center,9/26/2022,13:37,94
87,05 Glendale Circle,9/24/2022,19:35,54
88,5998 Linden Lane,9/23/2022,16:51,80
89,7 Thompson Pass,9/29/2022,6:07,36
90,91 Cascade Avenue,9/24/2022,8:26,14
91,220 Rusk Hill,9/23/2022,2:46,33
92,13 Anderson Street,9/23/2022,17:28,5
93,43 John Wall Road,9/24/2022,4:34,71
94,340 Bunker Hill Drive,9/27/2022,0:18,47
95,03884 Lakewood Center,9/29/2022,16:46,5
96,12 Messerschmidt Hill,9/22/2022,8:37,30
97,7 Hauk Terrace,9/22/2022,6:14,18
98,90002 Logan Way,9/27/2022,5:06,26
99,92720 Crownhardt Plaza,9/28/2022,15:05,49
100,75192 Jana Junction,9/28/2022,10:16,73
101,1922 Messerschmidt Pass,9/28/2022,19:25,93
102,3713 Summit Point,9/24/2022,18:09,92
103,23 Carberry Way,9/26/2022,0:00,62
104,39834 Farragut Way,9/23/2022,23:01,40
105,098 Delaware Crossing,9/24/2022,3:44,38
106,8326 Pankratz Park,9/29/2022,19:24,44
107,8050 Novick Park,9/21/2022,10:28,79
108,823 Dayton Hill,9/22/2022,7:45,49
109,6256 Sage Trail,9/21/2022,17:01,10
110,7594 Chinook Center,9/27/2022,3:41,6
111,2490 Oak Circle,9/28/2022,4:14,88
112,76425 Ilene Point,9/28/2022,16:20,93
113,404 South Terrace,9/22/2022,18:11,67
114,44508 Anzinger Avenue,9/26/2022,3:20,91
115,7428 Cardinal Court,9/26/2022,7:22,51
116,0690 Jenifer Circle,9/22/2022,0:21,52
117,00 Swallow Parkway,9/24/2022,16:32,31
118,58010 Jenna Road,9/23/2022,12:56,100
119,854 Drewry Avenue,9/23/2022,0:08,47
120,4 Burning Wood Junction,9/29/2022,22:23,89
121,1 Everett Trail,9/24/2022,4:27,61
122,05170 Cody Street,9/22/2022,14:53,4
123,6 Huxley Avenue,9/29/2022,12:20,59
124,2276 Delaware Lane,9/26/2022,1:38,43
125,0 Meadow Valley Avenue,9/22/2022,10:18,47
126,0 Vernon Circle,9/27/2022,0:49,42
127,79 Talisman Pass,9/27/2022,22:56,47
128,8 Manitowish Court,9/28/2022,11:53,4
129,1 Morning Alley,9/25/2022,8:09,80
130,614 Oak Street,9/29/2022,21:00,86
131,494 David Alley,9/29/2022,18:04,90
132,40 Kenwood Pass,9/23/2022,0:37,28
133,24 6th Crossing,9/28/2022,1:17,22
134,15 Ilene Junction,9/29/2022,18:31,21
135,73419 Clyde Gallagher Hill,9/23/2022,3:49,64
136,11821 Manley Center,9/28/2022,11:41,80
137,1 Cody Court,9/25/2022,18:50,72
138,043 Transport Way,9/23/2022,4:06,57
139,69 Schmedeman Road,9/25/2022,20:12,60
140,12 Mallory Hill,9/21/2022,12:34,92
141,53024 Transport Park,9/26/2022,23:00,59
142,3 Logan Point,9/29/2022,14:19,44
143,97177 Bunting Park,9/27/2022,18:21,33
144,3 Mariners Cove Center,9/22/2022,12:42,77
145,9285 Nobel Circle,9/21/2022,14:26,62
146,647 Kennedy Terrace,9/26/2022,16:29,85
147,75 Buhler Terrace,9/21/2022,17:44,48
148,92 Rieder Crossing,9/23/2022,5:17,23
149,9 Hansons Pass,9/26/2022,16:35,98
150,2639 Eggendart Point,9/21/2022,4:42,71
151,3 Gerald Crossing,9/21/2022,1:45,35
152,86 Hovde Parkway,9/28/2022,23:07,25
153,640 Onsgard Pass,9/29/2022,23:49,3
154,251 Utah Center,9/24/2022,15:47,55
155,16491 Bellgrove Crossing,9/25/2022,20:31,40
156,142 Lake View Court,9/24/2022,0:09,26
157,20640 Thackeray Circle,9/27/2022,16:53,9
158,71612 Forster Terrace,9/24/2022,4:44,44
159,09 Eastlawn Park,9/24/2022,20:52,81
160,10 Southridge Court,9/24/2022,20:50,4
161,453 Brown Junction,9/25/2022,21:33,32
162,32 Rieder Trail,9/23/2022,20:43,77
163,0 Bellgrove Drive,9/25/2022,23:19,71
164,81 Dottie Center,9/26/2022,9:43,71
165,3 Porter Way,9/24/2022,20:57,29
166,029 Forest Run Crossing,9/26/2022,1:17,94
167,4440 Holmberg Road,9/22/2022,4:09,50
168,54114 Dexter Plaza,9/23/2022,20:58,63
169,0 Bellgrove Place,9/29/2022,3:12,54
170,626 Schiller Circle,9/21/2022,14:27,84
171,666 Namekagon Drive,9/26/2022,17:57,83
172,47 International Street,9/29/2022,14:41,77
173,2769 Upham Avenue,9/22/2022,7:26,77
174,8 Corben Street,9/26/2022,18:35,21
175,2 Melvin Park,9/27/2022,13:44,87
176,4 Towne Court,9/25/2022,22:37,89
177,28478 Fallview Crossing,9/29/2022,12:15,32
178,0728 Iowa Park,9/21/2022,16:41,100
179,93444 Hollow Ridge Avenue,9/26/2022,9:25,41
180,29 Mandrake Center,9/25/2022,0:55,46
181,0 Londonderry Crossing,9/25/2022,2:18,57
182,0898 Independence Point,9/24/2022,15:51,63
183,61430 Delladonna Center,9/21/2022,13:26,53
184,57 Anzinger Trail,9/21/2022,6:22,20
185,4 Stang Road,9/27/2022,9:31,98
186,15495 Tennyson Park,9/26/2022,15:41,48
187,01 Dahle Way,9/28/2022,1:35,94
188,038 Pankratz Avenue,9/29/2022,21:21,22
189,746 Troy Road,9/26/2022,1:34,100
190,9705 Ilene Pass,9/22/2022,10:21,66
191,0159 Troy Crossing,9/24/2022,6:34,32
192,7 Carberry Plaza,9/21/2022,18:14,66
193,7383 Bayside Junction,9/28/2022,4:51,98
194,40229 Surrey Park,9/23/2022,1:50,89
195,31928 Dahle Point,9/28/2022,9:58,51
196,56 Tennessee Court,9/23/2022,14:01,85
197,833 Victoria Way,9/21/2022,2:06,51
198,73005 Victoria Plaza,9/21/2022,9:20,1
199,98 Walton Crossing,9/22/2022,3:03,22
200,328 Schiller Place,9/24/2022,3:11,6
201,780 Swallow Center,9/24/2022,15:55,80
202,95 Garrison Court,9/25/2022,21:11,60
203,351 Badeau Way,9/24/2022,11:30,26
204,08 Golf Lane,9/22/2022,5:43,6
205,2754 Forster Point,9/21/2022,5:26,92
206,51 Burrows Court,9/22/2022,18:56,54
207,7074 Sullivan Drive,9/25/2022,22:53,79
208,3 Swallow Way,9/29/2022,2:21,88
209,6666 Clemons Road,9/29/2022,20:50,8
210,64 Cascade Parkway,9/29/2022,18:24,72
211,299 Ramsey Lane,9/29/2022,1:11,11
212,7 Ridgeview Junction,9/21/2022,12:47,86
213,3509 Grayhawk Street,9/21/2022,14:19,32
214,5735 Veith Drive,9/27/2022,12:43,27
215,376 Buhler Circle,9/21/2022,23:11,41
216,8364 Brickson Park Terrace,9/23/2022,17:57,97
217,6859 Jay Terrace,9/25/2022,7:53,64
218,51 Killdeer Trail,9/22/2022,18:35,51
219,02 Sutteridge Park,9/24/2022,10:15,88
220,22 6th Avenue,9/24/2022,20:53,61
221,6046 Everett Place,9/26/2022,8:07,57
222,5725 Iowa Park,9/21/2022,21:42,44
223,6 Homewood Avenue,9/23/2022,17:03,90
224,83349 Morningstar Hill,9/29/2022,17:58,59
225,93948 Blaine Street,9/25/2022,16:49,4
226,2237 Hagan Trail,9/21/2022,22:19,37
